"Gene Symbol"	"Affy ProbeId"	"TSNI Ranking"	"Binding Score *"	"TSNI score"	"pvalue TSNI"	"Area*"	"pvalue*"	"Genes found in literature (Perez & Pietenpol, Cell Cycle 6:3, e1-e9, 2007"	"Genes found in literature Truong et al,  2006 20: 3185-3197 Genes & Dev. )"	"Genes found in literature  (Yang et al, Molecular Cell 24, 593–602, November 17, 2006)"	"Genes found in literature Vigano MA et al, EMBO J. 2006 Nov 1;25(21):5105-16."
"Ube2c"	"1452954_at"	553	0	-1.50E-01	0.7037	3.57E+00	0	0	0	0	0
"Phtf2"	"1437067_at"	554	0	-1.50E-01	0.7037	3.69E+00	0.0023	0	0	0	0
"Jmy"	"1420640_at"	555	0	-1.49E-01	0.7054	4.57E+00	0	0	0	0	0
"Chl1"	"1417795_at"	556	0	1.48E-01	0.7071	3.11E+00	0	0	0	0	0
"Sox9"	"1451538_at"	557	0	1.48E-01	0.7071	3.53E+00	0	0	1	0	0
"Gpr180"	"1417245_at"	558	0	1.45E-01	0.7121	1.73E+00	0	0	0	0	0
"Atp6v0b"	"1437013_x_at"	559	0	1.45E-01	0.7121	3.03E+00	0	0	0	0	0
"Ngfb"	"1419675_at"	560	0	1.45E-01	0.7121	2.54E+00	0	0	0	1	0
"Casp3"	"1426165_a_at"	561	0	1.43E-01	0.7155	2.12E+00	0.0009	0	0	0	0
"Slc15a1"	"1419343_at"	562	0	1.42E-01	0.7172	8.40E+00	0	0	0	1	0
"Tmem19"	"1416261_at"	563	19.3466	1.42E-01	0.7172	2.61E+00	0.0009	0	0	0	0
"Isoc1"	"1425053_at"	564	0	-1.42E-01	0.7172	2.07E+00	0	0	0	0	0
"Tsc22d1"	"1425742_a_at"	565	48.877	1.42E-01	0.7172	2.07E+00	0.0001	0	0	0	0
"D4Wsu53e"	"1448538_a_at"	566	0	-1.42E-01	0.7172	1.53E+00	0	0	0	0	0
"Gpsm2"	"1424895_at"	567	0	1.41E-01	0.7189	3.43E+00	0	0	0	0	0
"Mad2l1"	"1422460_at"	568	0	-1.39E-01	0.7223	3.27E+00	0	0	0	0	0
"Stam2"	"1416975_at"	569	0	-1.37E-01	0.7257	1.72E+00	0.0424	0	0	0	0
"Ccnb2"	"1450920_at"	570	0	1.37E-01	0.7257	6.92E+00	0	0	0	0	0
"Padi4 /// LOC670543"	"1422760_at"	571	0	1.35E-01	0.7291	2.35E+00	0.0256	0	0	0	0
"1810015C04Rik"	"1424683_at"	572	0	1.35E-01	0.7291	3.43E+00	0	0	0	1	0
"Arl4a"	"1431429_a_at"	573	0	1.34E-01	0.7308	3.30E+00	0	0	0	0	0
"Akr1b8"	"1448894_at"	574	0	-1.34E-01	0.7308	2.21E+00	0	0	0	0	0
"Col4a3bp"	"1449847_a_at"	575	0	1.33E-01	0.7325	2.38E+00	0.0002	0	0	0	0
"Rhou"	"1449027_at"	576	0	-1.33E-01	0.7325	2.44E+00	0	0	0	0	0
"Suv420h1"	"1455171_at"	577	0	1.32E-01	0.7342	3.38E+00	0.0001	0	0	0	0
"3300001G02Rik"	"1428004_at"	578	0	-1.32E-01	0.7342	1.67E+00	0.0064	0	0	0	0
"Cdca3"	"1452040_a_at"	579	0	-1.31E-01	0.7359	6.49E+00	0	0	0	0	0
"Gatad1"	"1425599_a_at"	580	0	1.31E-01	0.7359	1.65E+00	0	0	0	0	0
"Dusp19"	"1448922_at"	581	0	1.30E-01	0.7376	2.62E+00	0	0	0	0	0
"1200006F02Rik"	"1451486_at"	582	0	1.29E-01	0.7393	2.36E+00	0.0146	0	0	0	0
"Atf5"	"1425927_a_at"	583	0	-1.29E-01	0.7393	3.00E+00	0	0	0	0	0
"Higd1a"	"1416480_a_at"	584	0	-1.29E-01	0.7393	2.58E+00	0.0282	0	0	0	0
"Ppgb"	"1448128_at"	585	0	-1.28E-01	0.741	3.37E+00	0	0	0	0	0
"Nos3as"	"1434092_at"	586	0	-1.28E-01	0.741	4.34E+00	0.0056	0	0	0	0
"Ces5"	"1427137_at"	587	0	1.27E-01	0.7427	7.08E+00	0.0394	0	0	0	0
"Hspb8"	"1456434_x_at"	588	35.106	1.25E-01	0.7461	3.02E+00	0.0002	0	0	0	0
"Dtymk"	"1449116_a_at"	589	0	1.24E-01	0.7478	3.16E+00	0.0001	0	0	0	0
"Aurkb"	"1451246_s_at"	590	23.3629	1.24E-01	0.7478	1.93E+00	0.0002	0	0	0	0
"0610009B22Rik"	"1418083_at"	591	0	1.23E-01	0.7496	1.79E+00	0.0069	0	0	0	0
"3230401D17Rik"	"1416856_at"	592	0	-1.23E-01	0.7496	3.33E+00	0	0	0	0	0
"Pcdh1"	"1452294_at"	593	0	1.22E-01	0.7513	7.51E+00	0	0	0	0	0
"Cyp2b10"	"1422257_s_at"	594	51.7961	1.22E-01	0.7513	1.66E+00	0.0001	0	0	0	0
"Klf6"	"1418280_at"	595	30.8729	-1.21E-01	0.753	8.61E+00	0	0	0	0	0
"Ccnb1-rs1 /// Ccnb1"	"1448205_at"	596	0	1.21E-01	0.753	2.19E+00	0.0001	0	0	0	0
"Emp2"	"1425273_s_at"	597	31.1801	-1.18E-01	0.7582	1.52E+00	0.0054	1	0	0	0
"Hadhsc"	"1455972_x_at"	598	25.2709	1.18E-01	0.7582	2.32E+00	0	0	0	0	0
"Pard6g"	"1420851_at"	599	150.8457	1.16E-01	0.7616	1.74E+00	0.0334	0	0	1	0
"Cryab"	"1434369_a_at"	600	0	-1.16E-01	0.7616	4.53E+00	0	0	1	0	0
"Idh1"	"1422433_s_at"	601	20.8367	1.15E-01	0.7633	2.22E+00	0	0	0	0	0
"Vim"	"1456292_a_at"	602	14.9271	1.15E-01	0.7633	1.87E+00	0.0001	0	0	0	0
"Brrn1"	"1436707_x_at"	603	31.4708	1.13E-01	0.7668	1.67E+00	0.0001	0	0	0	0
